method,curve_key,accuracy,correct,n,avg_flops_tflops,pct_lrm_flops,distance_to_ba80_tflops,distance_to_ba80_pct_lrm,regen_ratio,threshold,checkpoint,checkpoint_file,checkpoint_dir,checkpoint_kind,lambda,seed,epoch
TRIM-Agg,ppo_agg,59.5,119,200,351.101733,78.74344000688814,5.602757399999973,1.256559993111864,0.8221961047683009,0.39775,trim_agg_omnimath13_to34_point_search_lam1e-4_seed1/epoch_0020.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam1e-4_seed1/epoch_0020.pt,trim_agg_omnimath13_to34_point_search_lam1e-4_seed1,epoch,0.0001,1,20
TRIM-Agg,ppo_agg,61.5,123,200,350.997153,78.71998529794791,5.707337399999972,1.2800147020520853,0.6329751511081263,0.7495,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,350.997153,78.71998529794791,5.707337399999972,1.2800147020520853,0.6329751511081263,0.7495,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,61.5,123,200,363.359993,81.49266471919917,6.655502599999977,1.492664719199169,0.6749496306245802,0.7474,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,363.359993,81.49266471919917,6.655502599999977,1.492664719199169,0.6749496306245802,0.7474,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,61.5,123,200,363.648533,81.55737710892579,6.944042599999989,1.5573771089257917,0.6942578912021491,0.6715,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
TRIM-Agg,ppo_agg,62.0,124,200,363.831653,81.59844639847573,7.12716260000002,1.5984463984757298,0.6784754869039624,0.75715,trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,best,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,349.342773,78.34894875772498,7.361717399999975,1.6510512422750168,0.6398589657488247,0.7096,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,10
TRIM-Agg,ppo_agg,56.99999999999999,114,200,348.602033,78.18281908569998,8.102457399999992,1.8171809143000246,0.8242108797850907,0.70435,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0020.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0020.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,20
TRIM-Agg,ppo_agg,61.5,123,200,348.359833,78.12849961251848,8.344657400000017,1.8715003874815181,0.6255876427132303,0.74985,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,348.359833,78.12849961251848,8.344657400000017,1.8715003874815181,0.6255876427132303,0.74985,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,61.5,123,200,365.094033,81.88156702834712,8.389542600000027,1.8815670283471206,0.6991269308260577,0.67115,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
